#    L    TT             EE             BB             TE             PP             TP             EP          
   219   0.568432E+04   0.810049E+00   0.000000E+00   0.127461E+02   0.297270E-07   0.386839E-03  -0.421586E-07
   220   0.568364E+04   0.832013E+00   0.000000E+00   0.142952E+02   0.296005E-07   0.383553E-03  -0.280717E-07
   221   0.568239E+04   0.855440E+00   0.000000E+00   0.158560E+02   0.294752E-07   0.380297E-03  -0.140701E-07
   222   0.568057E+04   0.880477E+00   0.000000E+00   0.174269E+02   0.293510E-07   0.377070E-03  -0.152903E-09
   223   0.567803E+04   0.907048E+00   0.000000E+00   0.190088E+02   0.292279E-07   0.373871E-03   0.136806E-07
   224   0.567506E+04   0.935153E+00   0.000000E+00   0.205978E+02   0.291059E-07   0.370700E-03   0.274313E-07
   225   0.567145E+04   0.964939E+00   0.000000E+00   0.221971E+02   0.289850E-07   0.367555E-03   0.410998E-07
   226   0.566725E+04   0.996405E+00   0.000000E+00   0.238028E+02   0.288652E-07   0.364436E-03   0.546871E-07
   227   0.566241E+04   0.102955E+01   0.000000E+00   0.254165E+02   0.287464E-07   0.361341E-03   0.681938E-07
   228   0.565707E+04   0.106438E+01   0.000000E+00   0.270367E+02   0.286286E-07   0.358271E-03   0.816208E-07
   229   0.565115E+04   0.110095E+01   0.000000E+00   0.286620E+02   0.285119E-07   0.355224E-03   0.949689E-07
