#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.533399E-01   0.293949E+07   0.291321E+07   0.630599E+02   0.630599E+02   0.302451E+06   0.292262E+07   0.293508E+07   0.292262E+07  -0.505950E-01   0.952075E+06   0.951783E+06   0.183000E+01   0.785383E-02   0.324388E+00  -0.178490E+10
   0.574430E-01   0.276449E+07   0.274356E+07   0.511477E+02   0.511477E+02   0.258390E+06   0.274913E+07   0.276097E+07   0.274913E+07  -0.475915E-01   0.895577E+06   0.895334E+06   0.141152E+01   0.637011E-02   0.324379E+00  -0.155906E+10
   0.615460E-01   0.260889E+07   0.259206E+07   0.420555E+02   0.420555E+02   0.222601E+06   0.259479E+07   0.260607E+07   0.259479E+07  -0.449196E-01   0.845313E+06   0.845106E+06   0.112038E+01   0.523767E-02   0.324371E+00  -0.137346E+10
   0.656491E-01   0.246235E+07   0.244813E+07   0.348906E+02   0.348906E+02   0.192626E+06   0.244923E+07   0.245996E+07   0.244923E+07  -0.423999E-01   0.797909E+06   0.797725E+06   0.936181E+00   0.434528E-02   0.324364E+00  -0.121541E+10
   0.697522E-01   0.231750E+07   0.230443E+07   0.290891E+02   0.290891E+02   0.166862E+06   0.230514E+07   0.231530E+07   0.230514E+07  -0.399054E-01   0.750979E+06   0.750805E+06   0.833345E+00   0.362273E-02   0.324358E+00  -0.107664E+10
   0.738552E-01   0.217555E+07   0.216243E+07   0.243559E+02   0.243559E+02   0.144694E+06   0.216375E+07   0.217335E+07   0.216375E+07  -0.374577E-01   0.704929E+06   0.704755E+06   0.786039E+00   0.303323E-02   0.324353E+00  -0.954470E+09
   0.779583E-01   0.203190E+07   0.201792E+07   0.204133E+02   0.204133E+02   0.125233E+06   0.202054E+07   0.202955E+07   0.202054E+07  -0.349786E-01   0.658286E+06   0.658106E+06   0.767635E+00   0.254221E-02   0.324348E+00  -0.844400E+09
   0.820614E-01   0.189354E+07   0.187835E+07   0.171652E+02   0.171652E+02   0.108476E+06   0.188255E+07   0.189099E+07   0.188255E+07  -0.325898E-01   0.613340E+06   0.613154E+06   0.758401E+00   0.213769E-02   0.324344E+00  -0.747406E+09
   0.861644E-01   0.176425E+07   0.174796E+07   0.145033E+02   0.145033E+02   0.942046E+05   0.175362E+07   0.176151E+07   0.175362E+07  -0.303579E-01   0.571344E+06   0.571152E+06   0.743431E+00   0.180618E-02   0.324341E+00  -0.663073E+09
   0.912856E-01   0.162045E+07   0.160340E+07   0.118659E+02   0.118659E+02   0.795439E+05   0.161031E+07   0.161759E+07   0.161031E+07  -0.278768E-01   0.524660E+06   0.524467E+06   0.704259E+00   0.147772E-02   0.324337E+00  -0.574731E+09
